Country,Section ID,Section,Trade Value,Year
Bahrain,1,Animal Products,249016164,2014
Bahrain,2,Vegetable Products,98376,2014
Bahrain,3,Animal and Vegetable Bi-Products,8354785,2014
Bahrain,4,Foodstuffs,361415360,2014
Bahrain,5,Mineral Products,856557657,2014
Bahrain,6,Chemical Products,744987034,2014
Bahrain,7,Plastics and Rubbers,238751681,2014
Bahrain,8,Animal Hides,7109931,2014
Bahrain,9,Wood Products,22496589,2014
Bahrain,10,Paper Goods,159198350,2014
Bahrain,11,Textiles,393970651,2014
Bahrain,12,Footwear and Headwear,10033533,2014
Bahrain,13,Stone And Glass,20401016,2014
Bahrain,14,Precious Metals,474590177,2014
Bahrain,15,Metals,3974446719,2014
Bahrain,16,Machines,977251205,2014
Bahrain,17,Transportation,809156210,2014
Bahrain,18,Instruments,73905923,2014
Bahrain,19,Weapons,102500,2014
Bahrain,20,Miscellaneous,68498326,2014
Bahrain,21,Arts and Antiques,1353127,2014
Bahrain,1,Animal Products,105989197,2015
Bahrain,2,Vegetable Products,12582211,2015
Bahrain,3,Animal and Vegetable Bi-Products,2195624,2015
Bahrain,4,Foodstuffs,375097869,2015
Bahrain,5,Mineral Products,426656857,2015
Bahrain,6,Chemical Products,628388396,2015
Bahrain,7,Plastics and Rubbers,311676676,2015
Bahrain,8,Animal Hides,28621483,2015
Bahrain,9,Wood Products,36304242,2015
Bahrain,10,Paper Goods,176822917,2015
Bahrain,11,Textiles,1025846209,2015
Bahrain,12,Footwear and Headwear,161343259,2015
Bahrain,13,Stone And Glass,87664423,2015
Bahrain,14,Precious Metals,321250333,2015
Bahrain,15,Metals,3343647871,2015
Bahrain,16,Machines,1478805634,2015
Bahrain,17,Transportation,645025118,2015
Bahrain,18,Instruments,133877253,2015
Bahrain,19,Weapons,632380,2015
Bahrain,20,Miscellaneous,88471721,2015
Bahrain,21,Arts and Antiques,7030522,2015
Bahrain,1,Animal Products,116213257,2016
Bahrain,2,Vegetable Products,13434252,2016
Bahrain,3,Animal and Vegetable Bi-Products,1956795,2016
Bahrain,4,Foodstuffs,273899966,2016
Bahrain,5,Mineral Products,613789287,2016
Bahrain,6,Chemical Products,540734124,2016
Bahrain,7,Plastics and Rubbers,245697302,2016
Bahrain,8,Animal Hides,14878021,2016
Bahrain,9,Wood Products,29805519,2016
Bahrain,10,Paper Goods,75172083,2016
Bahrain,11,Textiles,562924464,2016
Bahrain,12,Footwear and Headwear,79874229,2016
Bahrain,13,Stone And Glass,68862079,2016
Bahrain,14,Precious Metals,244732833,2016
Bahrain,15,Metals,2811193610,2016
Bahrain,16,Machines,851688995,2016
Bahrain,17,Transportation,403439974,2016
Bahrain,18,Instruments,97533823,2016
Bahrain,19,Weapons,573595,2016
Bahrain,20,Miscellaneous,94387318,2016
Bahrain,21,Arts and Antiques,16041763,2016
Bahrain,1,Animal Products,188919579,2017
Bahrain,2,Vegetable Products,14735073,2017
Bahrain,3,Animal and Vegetable Bi-Products,1726732,2017
Bahrain,4,Foodstuffs,291670083,2017
Bahrain,5,Mineral Products,738398219,2017
Bahrain,6,Chemical Products,641158728,2017
Bahrain,7,Plastics and Rubbers,211000069,2017
Bahrain,8,Animal Hides,11525427,2017
Bahrain,9,Wood Products,27282261,2017
Bahrain,10,Paper Goods,137313880,2017
Bahrain,11,Textiles,295562504,2017
Bahrain,12,Footwear and Headwear,19235189,2017
Bahrain,13,Stone And Glass,104267009,2017
Bahrain,14,Precious Metals,334791067,2017
Bahrain,15,Metals,3448349376,2017
Bahrain,16,Machines,463024333,2017
Bahrain,17,Transportation,567172678,2017
Bahrain,18,Instruments,73354615,2017
Bahrain,19,Weapons,58760,2017
Bahrain,20,Miscellaneous,71027469,2017
Bahrain,21,Arts and Antiques,523374,2017
Bahrain,1,Animal Products,216562386,2018
Bahrain,2,Vegetable Products,23707344,2018
Bahrain,3,Animal and Vegetable Bi-Products,2663136,2018
Bahrain,4,Foodstuffs,353184607,2018
Bahrain,5,Mineral Products,996333823,2018
Bahrain,6,Chemical Products,710978890,2018
Bahrain,7,Plastics and Rubbers,210467680,2018
Bahrain,8,Animal Hides,10158490,2018
Bahrain,9,Wood Products,22212647,2018
Bahrain,10,Paper Goods,113700045,2018
Bahrain,11,Textiles,337127512,2018
Bahrain,12,Footwear and Headwear,27201151,2018
Bahrain,13,Stone And Glass,123303024,2018
Bahrain,14,Precious Metals,371892766,2018
Bahrain,15,Metals,4308240776,2018
Bahrain,16,Machines,455390921,2018
Bahrain,17,Transportation,473675697,2018
Bahrain,18,Instruments,99240527,2018
Bahrain,19,Weapons,58794,2018
Bahrain,20,Miscellaneous,80609023,2018
Bahrain,21,Arts and Antiques,831051,2018
Bahrain,1,Animal Products,207385304,2019
Bahrain,2,Vegetable Products,7332008,2019
Bahrain,3,Animal and Vegetable Bi-Products,1638075,2019
Bahrain,4,Foodstuffs,205169848,2019
Bahrain,5,Mineral Products,526238174,2019
Bahrain,6,Chemical Products,466094351,2019
